category,question_en,question_th,answer,image_names
Bay Types,What is social bay?,Social Bay คืออะไร,"Social Bay is perfect for beginners and groups. Can accommodate 3-5 players per bay. Features high-quality golf simulators where you can play world-famous courses. Great for casual fun experiences, celebrations, and parties. All skill levels welcome. We have 3 Social Bays available.","Social Bay 1,Social Bay 2,Social Bay 3"
Bay Types,What is AI bay?,AI Bay คืออะไร,"LENGOLF AI Lab is our premium bay with advanced technology. Ideal for intermediate+ players who want to improve. Best for 1-2 players (solo or duo sessions). Features AI-powered swing analysis, dual-angle video replay, and 4K course simulation. Optimized setup for both left and right-handed players. INCLUDES UNLIMITED SOFT DRINKS with every booking! We have 1 AI Lab bay available.",AI Bay Unlimited Soft drinks
Bay Types,What's the difference between Social Bay and AI Bay?,Social Bay และ AI Bay ต่างกันอย่างไร,"Social Bay is for beginners and groups (3-5 players), great for casual fun. AI Lab is for intermediate+ players (1-2 people) who want serious improvement with AI swing analysis, dual-angle video replay, and unlimited soft drinks included.","Social Bay 1,AI Bay Unlimited Soft drinks"
Bay Types,How many people can play per bay?,เล่นได้กี่คนต่อห้อง,"Social Bays can accommodate up to 5 players. AI Lab is optimized for 1-2 players for best experience and detailed analysis.","Social Bay 1,AI Bay Unlimited Soft drinks"
Bay Types,Which bay is good for beginners?,มือใหม่ควรเลือกห้องไหน,"Social Bay is perfect for beginners! It's designed for learning and casual play, accommodates groups, and has a fun social atmosphere. All skill levels welcome.",Social Bay 1
Bay Types,Which bay should I choose for practice?,ควรเลือกห้องไหนถ้าอยาก practice,"If you're intermediate+ and want serious improvement with detailed swing analysis, choose AI Lab. It has AI-powered analysis, dual-angle video replay, and is optimized for focused practice. If you're beginner-intermediate and want casual practice, Social Bay works great too.",AI Bay Unlimited Soft drinks
Pricing,How much does it cost?,ราคาเท่าไหร่,"Pricing varies by bay type (Social or AI Lab), day of week (weekday vs weekend), and time slot (regular vs peak hours 6-9 PM). Please see our bay rate card for complete pricing details. We also offer monthly packages for regular players.",Bay Rate
Pricing,What are the peak hours?,Peak hour คือเวลาไหน,"Peak hours are 6:00 PM - 9:00 PM daily. Pricing during peak hours is different from regular hours. See our bay rate card for specific rates.",Bay Rate
Pricing,Do you have monthly packages?,มีแพ็คเกจรายเดือนไหม,"Yes! We offer several monthly packages: Early Bird, Bronze, Silver, Gold, and Diamond. Each package includes different hours, validity periods, and perks. Packages offer significant savings for regular players. See our monthly packages card for details.",Monthly Packages
Pricing,What monthly packages do you have?,มีแพ็คเกจรายเดือนแบบไหนบ้าง,"We have 5 monthly packages: Early Bird (budget-friendly), Bronze, Silver, Gold, and Diamond (premium). Each package includes different number of hours, validity period (1-3 months), and additional perks. Higher tier packages include extras like free guest hours and priority booking.",Monthly Packages
Pricing,Can I rent premium clubs?,เช่าไม้กอล์ฟพรีเมี่ยมได้ไหม,"Yes! We offer premium club rentals including Callaway Warbird sets for men and Majesty Shuttle sets for women. Rental available by hour (฿150/hr), 2 hours (฿250), 4 hours (฿400), or full day 24h (฿1,200). Standard clubs are provided FREE with any booking.",Premium Club Rental
Pricing,Are golf clubs included?,มีไม้กอล์ฟให้ฟรีไหม,"Yes! Standard quality golf clubs are included FREE with every booking. If you want premium clubs (Callaway or Majesty), those are available to rent separately.",Premium Club Rental
Pricing,How much is premium club rental?,เช่าไม้พรีเมี่ยมเท่าไหร่,"Premium club rental: 1 hour ฿150, 2 hours ฿250, 4 hours ฿400, or full day 24h ฿1,200. We have Callaway Warbird (men's) and Majesty Shuttle (women's) sets available.",Premium Club Rental
